İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
30 Kasım 2023,Hyundai,H 100,2.5 D DLX Camlıvan,2004,220.000 km,Düz,Dizel,Yarım Camlı Van,Beyaz,2476 cc,94 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,130 km/s,242.000 TL
30 Kasım 2023,BMW,3 Serisi,316i Standart,2014,142.000 km,Otomatik,Benzin,Sedan,Siyah,1598 cc,136 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,210 km/s,1.200.000 TL
30 Kasım 2023,BMW,3 Serisi,320i ED Luxury Line Plus,2014,127.000 km,Otomatik,Benzin,Sedan,Füme,1598 cc,170 hp,5.3 lt,1 değişen. 2 boyalı,Tramer  23.123 TL,230 km/s,1.350.000 TL
30 Kasım 2023,Renault,Fluence,1.5 dCi Dynamique,2012,310.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461 cc,110 hp,4.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,455.000 TL
30 Kasım 2023,Ford,Tourneo Courier,1.5 TDCi Titanium Plus,2021,55.000 km,Düz,Dizel,Camlı Van,Mavi (metalik),1498 cc,100 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,170 km/s,815.000 TL
30 Kasım 2023,Ford,Focus,1.5 TDCi Trend X,2015,178.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1499 cc,120 hp,4.2 lt,Belirtilmemiş,Tramer tutarı yok,193 km/s,745.000 TL
30 Kasım 2023,Dacia,Logan,1.5 dCi MCV Ambiance,2019,215.000 km,Düz,Dizel,Station wagon,Beyaz,1461 cc,90 hp,3.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,159 km/s,545.000 TL                                                                                       539.000 TL
30 Kasım 2023,Fiat,Egea,1.3 Multijet Easy,2020,57.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1248 cc,95 hp,4.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,183 km/s,659.000 TL
30 Kasım 2023,BMW,3 Serisi,330d Standart,2002,350.000 km,Otomatik,Dizel,Sedan. 5 Koltuk,Gri (Gümüş),2979 cc,184 hp,8 lt,4 değişen. 5 boyalı,Tramer tutarı yok,227 km/s,610.000 TL
30 Kasım 2023,Citroen,C3,1.4 HDi SX,2004,247.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,93 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,183 km/s,315.000 TL
30 Kasım 2023,Skoda,SuperB,1.4 TSI Active,2017,109.000 km,Düz,Benzin,Hatchback/5,Beyaz,1395 cc,125 hp,5.3 lt,1 değişen. 3 boyalı,Tramer  21.000 TL,208 km/s,820.000 TL
30 Kasım 2023,Kia,Ceed,1.6 CRDi Concept,2013,132.000 km,Düz,Dizel,Hatchback/5,Beyaz,1582 cc,128 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,197 km/s,729.000 TL
30 Kasım 2023,Hyundai,i20,1.6,2021,70.532 km,Düz,Benzin,Hatchback/5,Gri,1591 cc,126 hp,6.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,740.000 TL
30 Kasım 2023,Volkswagen,Caddy,2.0 TDI Trendline,2017,63.000 km,Düz,Dizel,Camlı Van,Beyaz,1968 cc,102 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,172 km/s,735.000 TL
30 Kasım 2023,Renault,Megane,1.3 TCe Touch,2022,52.150 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.3 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,205 km/s,979.000 TL
30 Kasım 2023,Honda,CR-V,1.6 i-DTEC Elegance,2015,195.000 km,Düz,Dizel,Crossover,Kahverengi,1597 cc,120 hp,4.5 lt,1 değişen. 3 boyalı,Tramer tutarı belirtilmemiş,182 km/s,895.000 TL
30 Kasım 2023,Fiat,500 X,1.6 Multijet Cross,2020,53.000 km,Yarı Otomatik,Dizel,Crossover,Mavi (metalik),1598 cc,120 hp,4.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,186 km/s,890.000 TL
30 Kasım 2023,Hyundai,Tucson,2.7 Elegance,2019,37.371 km,Otomatik,Dizel,Crossover,Beyaz,2656 cc,175 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,1.325.000 TL
30 Kasım 2023,Honda,Civic,1.4 1.4i,2015,86.000 km,Otomatik,Benzin,Coupe,Beyaz,125 cc,1600 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,950.000 TL
30 Kasım 2023,Renault,Megane,1.6 Dynamique,2019,143.000 km,Otomatik,Dizel,Coupe,Gri,110 cc,1500 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,760.000 TL
30 Kasım 2023,Opel,Corsa,1.2 Twinport Essentia,2013,57.000 km,Düz,Benzin,Hatchback/5,Gri (metalik),1229 cc,85 hp,5.3 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,172 km/s,585.000 TL
30 Kasım 2023,Skoda,Kamiq,1.5 TSI Premium,2022,13.500 km,Yarı Otomatik,Benzin,Crossover,Gri,1498 cc,150 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,212 km/s,1.330.000 TL
29 Kasım 2023,Volkswagen,Transporter,2.5 TDI Camlı Van,2004,230.000 km,Düz,Dizel,Camlı Van,Kırmızı,2460 cc,174 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,184 km/s,595.000 TL
29 Kasım 2023,Renault,Symbol,1.5 dCi Authentique,2009,300.000 km,Düz,Dizel,Sedan,Gri,1461 cc,65 hp,4.5 lt,1 değişen,Tramer tutarı yok,160 km/s,310.000 TL
29 Kasım 2023,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2018,122.000 km,Yarı Otomatik,Benzin,Sedan,Gri (Gümüş),1395 cc,125 hp,5 lt,1 değişen. 1 boyalı,Tramer  23.850 TL,208 km/s,1.195.000 TL
29 Kasım 2023,Renault,Clio,1.0 TCe Joy,2022,20.500 km,Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,779.000 TL
29 Kasım 2023,Skoda,Octavia,1.6 TDI Optimal,2019,123.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,3.9 lt,4 boyalı,Tramer  8.200 TL,202 km/s,865.000 TL
29 Kasım 2023,Volkswagen,Caddy,2.0 TDI Style,2022,16.000 km,Yarı Otomatik,Dizel,Camlı Van,Beyaz,1968 cc,122 hp,,Tamamı orjinal,Tramer tutarı yok,186 km/s,1.275.000 TL
29 Kasım 2023,Ford,Kuga,1.5 TDCi ST Line,2017,148.000 km,Yarı Otomatik,Dizel,Crossover,Gri,1499 cc,120 hp,4.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,171 km/s,1.185.000 TL
29 Kasım 2023,Mazda,3,1.6 Touring,2009,128.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,105 hp,7.3 lt,Tamamı orjinal,Tramer tutarı yok,177 km/s,535.000 TL
29 Kasım 2023,Peugeot,206+,1.4 HDi Comfort,2010,151.000 km,Düz,Dizel,Hatchback/5,Siyah,1398 cc,71 hp,4.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,166 km/s,440.000 TL
29 Kasım 2023,Fiat,Linea,1.4 Fire Pop,2013,317.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Beyaz,1368 cc,77 hp,6.3 lt,2 boyalı,Tramer tutarı yok,165 km/s,385.000 TL
29 Kasım 2023,BMW,3 Serisi,320d Premium,2011,304.823 km,Otomatik,Dizel,Sedan. 5 Koltuk,Siyah,1995 cc,177 hp,4.8 lt,6 boyalı,Tramer tutarı belirtilmemiş,225 km/s,1.060.000 TL
29 Kasım 2023,Toyota,Corolla,1.6 Linea Sol,2001,148.000 km,Otomatik,Benzin,Sedan,Gri (Gümüş),1598 cc,110 hp,7.9 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,399.500 TL
29 Kasım 2023,Ford,Tourneo Connect,1.8 TDCI K210S,2005,330.000 km,Düz,Dizel,Camlı Van,Gri,1753 cc,75 hp,,2 değişen. 4 boyalı,Tramer tutarı yok,147 km/s,325.000 TL
29 Kasım 2023,Skoda,SuperB,1.6 TDI Prestige,2017,140.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,4.6 lt,Tamamı orjinal,Tramer  205 TL,193 km/s,1.255.000 TL
29 Kasım 2023,Volkswagen,Golf,1.6 Highline,2001,360.000 km,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595 cc,101 hp,8.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,430.000 TL
29 Kasım 2023,Fiat,Egea,1.3 Multijet Urban Plus,2019,67.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,4.1 lt,Tamamı orjinal,Tramer tutarı yok,183 km/s,629.000 TL
29 Kasım 2023,Renault,Megane,1.5 dCi Sportway,2006,257.000 km,Düz,Dizel,Sedan,Gri,1461 cc,106 hp,4.7 lt,Belirtilmemiş,Tramer tutarı yok,186 km/s,425.000 TL
29 Kasım 2023,Volkswagen,Golf,1.6 Primeline,2004,199.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1595 cc,105 hp,6.8 lt,1 değişen. 2 boyalı,Tramer  7.700 TL,192 km/s,485.000 TL
29 Kasım 2023,BMW,5 Serisi,520i Luxury Line,2023,11.000 km,Otomatik,Benzin,Sedan,Lacivert,1597 cc,170 hp,7.1 lt,Tamamı orjinal,Tramer tutarı yok,226 km/s,3.884.000 TL
29 Kasım 2023,Volkswagen,Polo,1.2 TSi Lounge,2016,52.800 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,90 hp,4.7 lt,4 boyalı,Tramer  2.680 TL,184 km/s,799.900 TL                                                                                       790.000 TL
29 Kasım 2023,Renault,Megane,1.5 Blue DCI Touch,2020,113.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Beyaz,1461 cc,115 hp,4.2 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,197 km/s,849.000 TL
29 Kasım 2023,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2012,158.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Siyah,1598 cc,105 hp,4.7 lt,2 değişen. 4 boyalı,Tramer  43.000 TL,193 km/s,879.750 TL
29 Kasım 2023,Mercedes - Benz,E,250 Premium,2013,165.000 km,Otomatik,Benzin,Sedan,Beyaz,1991 cc,211 hp,6.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,243 km/s,1.845.000 TL
29 Kasım 2023,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,300.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,4 lt,7 boyalı,Tramer  2.500 TL,206 km/s,975.000 TL
29 Kasım 2023,Skoda,Octavia,1.6 TDI Optimal,2018,142.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,3.9 lt,2 boyalı,Tramer tutarı belirtilmemiş,202 km/s,829.000 TL
29 Kasım 2023,Ford,Tourneo Courier,1.5 TDCi Titanium Plus,2022,30.000 km,Düz,Dizel,Camlı Van,Beyaz,1499 cc,100 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,170 km/s,810.000 TL
29 Kasım 2023,Seat,Ateca,1.5 EcoTSI X-Perience,2021,85.000 km,Yarı Otomatik,Benzin,Crossover,Füme,1498 cc,150 hp,5.7 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,198 km/s,1.209.000 TL
29 Kasım 2023,Skoda,Kamiq,1.0 TSI Premium,2021,84.000 km,Yarı Otomatik,Benzin,Crossover,Mavi,999 cc,110 hp,4.8 lt,1 boyalı,Tramer tutarı belirtilmemiş,193 km/s,969.000 TL
29 Kasım 2023,Skoda,Octavia,1.6 TDI Optimal,2017,102.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,3.9 lt,3 boyalı,Tramer tutarı belirtilmemiş,202 km/s,829.000 TL
29 Kasım 2023,Renault,Clio,1.0 TCe Touch,2023,30.000 km,Düz,Benzin,Hatchback/5,Beyaz,999 cc,90 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,178 km/s,693.750 TL
29 Kasım 2023,Ford,Tourneo Courier,1.5 TDCi Delux,2021,51.000 km,Düz,Dizel,Panel Van,Beyaz,1498 cc,100 hp,,Tamamı orjinal,Tramer tutarı belirtilmemiş,170 km/s,760.000 TL
29 Kasım 2023,Opel,Astra,1.6 CDTI Design,2017,300.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,110 hp,4 lt,1 değişen. 1 boyalı,Tramer tutarı belirtilmemiş,184 km/s,710.000 TL
29 Kasım 2023,Seat,Leon,1.6 TDI Xcellence,2019,76.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1598 cc,115 hp,4.1 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,197 km/s,1.320.000 TL
29 Kasım 2023,Ford,Tourneo Connect,90PS,2011,240.000 km,Düz,Dizel,Camlı Van,Beyaz,1800 cm3,90 hp,,1 değişen. 3 boyalı,Tramer  4.205 TL,,425.000 TL
29 Kasım 2023,BMW,3 Serisi,320i First Edition M Sport,2020,28.000 km,Otomatik,Benzin,Sedan,Gri,1597 cc,170 hp,6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,232 km/s,2.875.000 TL
29 Kasım 2023,Fiat,Egea,1.6 Multijet Mirror,2020,129.000 km,Yarı Otomatik,Dizel,Station wagon,Beyaz,1598 cc,120 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,200 km/s,749.000 TL
29 Kasım 2023,Ford,Focus,1.6 TDCi Trend X,2014,141.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,95 hp,4.5 lt,Tamamı orjinal,Tramer tutarı yok,182 km/s,669.000 TL
29 Kasım 2023,Renault,Talisman,1.6 dCi Touch,2016,187.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,130 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,205 km/s,819.000 TL
29 Kasım 2023,Peugeot,206,1.4 XR,2000,220.000 km,Otomatik,LPG & Benzin,Hatchback/3,Gri (Gümüş),1360 cc,76 hp,6.9 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,160 km/s,350.000 TL
29 Kasım 2023,Fiat,Doblo,Doblo Combi 1.6 Multijet Premio,2013,237.000 km,Düz,Dizel,Camlı Van,Siyah,1598 cc,105 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,164 km/s,495.000 TL
29 Kasım 2023,Fiat,Tempra,1.6 SX AK,1992,215.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,90 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,182 km/s,230.000 TL
29 Kasım 2023,Volkswagen,Polo,1.0 TSi Highline,2018,43.465 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999 cc,95 hp,4.6 lt,2 boyalı,Tramer tutarı yok,187 km/s,869.900 TL
29 Kasım 2023,Opel,Corsa,1.4 Enjoy,2017,45.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1398 cc,90 hp,6 lt,Tamamı orjinal,Tramer tutarı yok,170 km/s,699.900 TL                                                                                       689.900 TL
29 Kasım 2023,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,16.200 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,116 hp,3.9 lt,3 değişen. 1 boyalı,Bu araç ağır hasar kayıtlıdır.,205 km/s,1.065.000 TL
29 Kasım 2023,Fiat,Egea,1.3 Multijet Easy,2020,174.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1248 cc,95 hp,4.1 lt,1 değişen. 7 boyalı,Tramer  18.000 TL,183 km/s,540.000 TL
29 Kasım 2023,Fiat,Egea,1.3 Multijet Easy,2020,197.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1248 cc,95 hp,4.1 lt,1 değişen. 6 boyalı,Tramer  32.000 TL,183 km/s,535.000 TL
29 Kasım 2023,Fiat,Egea,1.6 Multijet Easy,2020,63.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Beyaz,1598 cc,120 hp,3.9 lt,Tamamı orjinal,Tramer tutarı yok,200 km/s,712.000 TL
29 Kasım 2023,Renault,Megane,1.3 TCe Joy Comfort,2022,38.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1332 cc,140 hp,5.3 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,205 km/s,920.000 TL
29 Kasım 2023,Porsche,Cayenne,4.5 Turbo,2004,208.000 km,Otomatik,LPG & Benzin,Crossover,Gri (Gümüş),4511 cc,450 hp,15.8 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,266 km/s,1.099.000 TL
29 Kasım 2023,Toyota,Corolla,1.4 D-4D Advance,2014,232.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1364 cc,90 hp,4.1 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,180 km/s,775.000 TL
29 Kasım 2023,Renault,Clio,1.0 TCe Touch,2020,30.000 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Kırmızı,999 cc,100 hp,5 lt,2 değişen. 2 boyalı,Tramer tutarı yok,182 km/s,697.500 TL
29 Kasım 2023,Toyota,Corolla,1.4 D-4D Comfort,2010,145.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,4.7 lt,3 değişen. 6 boyalı,Tramer  34.000 TL,175 km/s,449.000 TL
29 Kasım 2023,Chevrolet,Aveo,1.4 LT,2012,120.000 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Siyah,1398 cc,100 hp,6.8 lt,1 değişen. 4 boyalı,Tramer  2.000 TL,175 km/s,449.500 TL
29 Kasım 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Dynamic,2006,250.000 km,Düz,Dizel,Camlı Van,Siyah,1248 cc,75 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,146 km/s,345.000 TL
29 Kasım 2023,Renault,Megane,1.5 dCi Authentique,2008,195.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,80 hp,4.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,170 km/s,437.500 TL
29 Kasım 2023,Ford,Tourneo Courier,1.5 TDCi Delux,2016,148.000 km,Düz,Dizel,Camlı Van,Beyaz,1498 cc,75 hp,,1 değişen. 2 boyalı,Tramer tutarı belirtilmemiş,,535.000 TL
29 Kasım 2023,Volkswagen,Jetta,1.6 Comfortline,2008,260.000 km,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1595 cc,102 hp,8.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,183 km/s,528.500 TL
29 Kasım 2023,Mitsubishi,ASX,1.6 MIVEC Intense,2011,149.000 km,Düz,Benzin,Crossover,Beyaz,1590 cc,117 hp,5.9 lt,Belirtilmemiş,Tramer  2.300 TL,183 km/s,725.000 TL
29 Kasım 2023,Volkswagen,Passat,2.0 TDi Highline,2006,370.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Füme,1968 cc,140 hp,6.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,206 km/s,600.000 TL
29 Kasım 2023,Toyota,Auris,1.4 D-4D Advance Skypack,2013,134.800 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1364 cc,90 hp,4.2 lt,Belirtilmemiş,Tramer  4.300 TL,180 km/s,730.000 TL
29 Kasım 2023,Fiat,Doblo,Doblo Combi 1.6 Multijet Easy,2022,52.000 km,Düz,Dizel,Camlı Van,Beyaz,1598 cc,120 hp,,Tamamı orjinal,Tramer tutarı belirtilmemiş,172 km/s,680.000 TL
29 Kasım 2023,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015,162.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,206 km/s,1.415.000 TL
29 Kasım 2023,BMW,X3,20d xDrive 2.0d xDrive,2011,145.000 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,177 hp,6.8 lt,1 değişen. 5 boyalı,Tramer  35.000 TL,205 km/s,980.000 TL
29 Kasım 2023,Volkswagen,Caddy,1.6 TDI Trendline,2016,144.000 km,Yarı Otomatik,Dizel,Camlı Van,Gri,1598 cc,102 hp,,Belirtilmemiş,Tramer  1.400 TL,168 km/s,840.000 TL                                                                                       805.000 TL
29 Kasım 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Safeline,2011,165.000 km,Düz,Dizel,Camlı Van,Gri,1248 cc,90 hp,,3 boyalı,Tramer tutarı Belirtilmemiş,156 km/s,380.000 TL
29 Kasım 2023,Kia,Pro Ceed,1.6 CRDi Cool,2011,207.000 km,Otomatik,Dizel,Hatchback/3. 5 Koltuk,Beyaz,1582 cc,115 hp,5.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,180 km/s,505.000 TL
29 Kasım 2023,Nissan,Micra,1.2 Tekna,2006,223.000 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Yeşil,1240 cc,80 hp,6.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,145 km/s,470.000 TL
29 Kasım 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Easy,2014,164.000 km,Düz,Dizel,Camlı Van,Beyaz,1248 cc,90 hp,,Tamamı orjinal,Tramer tutarı yok,156 km/s,475.000 TL
29 Kasım 2023,Volkswagen,Passat,1.6 FSi Trendline,2007,143.000 km,Otomatik,Benzin,Sedan,Siyah,1598 cc,115 hp,7.7 lt,5 boyalı,Tramer  11.000 TL,195 km/s,585.000 TL
29 Kasım 2023,BMW,5 Serisi,520i M Sport,2016,86.000 km,Otomatik,Benzin,Sedan. 5 Koltuk,Gri,1592 cc,170 hp,6.7 lt,1 değişen. 1 boyalı,Tramer  17.000 TL,226 km/s,1.851.900 TL
29 Kasım 2023,BMW,5 Serisi,525d xDrive Executive M Sport,2016,255.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,218 hp,5.1 lt,2 boyalı,Tramer tutarı yok,240 km/s,2.100.000 TL
29 Kasım 2023,Opel,Astra,1.6 Enjoy,2005,246.000 km,Yarı Otomatik,Benzin,Hatchback/5. 5 Koltuk,Siyah,1598 cc,105 hp,6.5 lt,1 değişen. 3 boyalı,Tramer tutarı Belirtilmemiş,185 km/s,415.850 TL
29 Kasım 2023,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2018,50.600 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,116 hp,4.5 lt,Belirtilmemiş,Tramer tutarı yok,206 km/s,1.200.000 TL
29 Kasım 2023,Ford,Focus,1.6 TDCi Trend X,2014,125.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,115 hp,4.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,193 km/s,755.000 TL
29 Kasım 2023,Renault,Megane,1.5 dCi Touch,2019,77.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,3.8 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,190 km/s,854.950 TL
29 Kasım 2023,Volkswagen,Tiguan,1.4 TSI Highline,2018,26.000 km,Yarı Otomatik,Benzin,Crossover,Beyaz,1395 cc,150 hp,6.7 lt,Tamamı orjinal,Tramer tutarı yok,196 km/s,1.480.000 TL                                                                                       1.430.000 TL
29 Kasım 2023,Renault,Symbol,1.2 Joy,2013,73.000 km,Düz,Benzin,Sedan,Beyaz,1149 cc,75 hp,6 lt,1 değişen. 3 boyalı,Tramer tutarı Belirtilmemiş,156 km/s,479.750 TL
29 Kasım 2023,Chevrolet,Aveo,1.4 LT,2012,170.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1398 cc,100 hp,6.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,530.000 TL
29 Kasım 2023,Ford,Focus,1.6 TDCi Trend,2007,335.000 km,Otomatik,Dizel,Sedan,Beyaz,1560 cc,110 hp,5.5 lt,2 değişen. 7 boyalı,Tramer  11.460 TL,183 km/s,380.000 TL
29 Kasım 2023,Citroen,C-Elysee,1.5 BlueHDi Feel,2019,105.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,3.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,189 km/s,619.950 TL
29 Kasım 2023,Opel,Insignia,1.6 CDTI Grand Sport Excellence,2018,81.000 km,Otomatik,Dizel,Hatchback/5,Lacivert,1598 cc,136 hp,5.1 lt,Tamamı orjinal,Tramer tutarı yok,203 km/s,1.185.000 TL                                                                                       1.165.000 TL
29 Kasım 2023,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2022,24.500 km,Otomatik,Hibrit,Sedan,Mavi (metalik),1798 cc,98 hp,3.5 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,1.285.000 TL
29 Kasım 2023,BMW,3 Serisi,318i Standart,1998,138.000 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Mavi,1895 cc,118 hp,9.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,202 km/s,495.000 TL
29 Kasım 2023,BMW,3 Serisi,320i ED Luxury Line,2015,85.000 km,Otomatik,Benzin,Sedan,Siyah,1598 cc,170 hp,5.3 lt,1 boyalı,Tramer tutarı Belirtilmemiş,230 km/s,1.265.000 TL
29 Kasım 2023,Volkswagen,Passat,1.5 TSi Business,2020,98.000 km,Yarı Otomatik,Benzin,Sedan,Gri (metalik),1498 cc,150 hp,5.3 lt,2 boyalı,Tramer  27.000 TL,213 km/s,1.350.000 TL
28 Kasım 2023,Kia,Stonic,1.4 MPI Cool,2022,6.001 km,Otomatik,Benzin,Crossover,Mavi,1368 cc,100 hp,6.2 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,173 km/s,930.000 TL
28 Kasım 2023,Volkswagen,Passat,1.6 TDi BlueMotion Business,2020,53.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1401/1600 cm3,101/125 HP,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,1.375.000 TL
28 Kasım 2023,Subaru,Vivio,GL,1997,350.000 km,Düz,LPG & Benzin,Hatchback/3,Gri (Gümüş),658 cc,44 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,138 km/s,295.000 TL
28 Kasım 2023,Volvo,S40,1.6 D R-Design,2009,485.000 km,Düz,Dizel,Sedan. 5 Koltuk,Siyah,1560 cc,109 hp,4.9 lt,Tamamı boyalı,Tramer  25.000 TL,190 km/s,480.000 TL
28 Kasım 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Premio,2005,206.000 km,Düz,Dizel,Camlı Van,Füme,1248 cc,70 hp,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,,383.000 TL
28 Kasım 2023,Volkswagen,Caddy,2.0 TDI Trendline,2020,51.200 km,Yarı Otomatik,Dizel,Camlı Van,Beyaz,1968 cc,102 hp,,Tamamı orjinal,Tramer tutarı Belirtilmemiş,170 km/s,890.000 TL
